ref:FR:prix-carburants,brand,name,operator,branch
8460001,TotalEnergies,Total,Garage Monjoli,
79430001,Total,Total Contact,,
17330001,,,Sarl Garage Roy,
79200011,Avia,Avia,,
43100001,Carrefour,Carrefour Market,,
43120001,Carrefour,Carrefour Market,,
47400003,Intermarché,Intermarché,,
67920001,,Station U,Super U,
16260001,Total,Total,,
14220002,XBEE,Garade Amand,,
21120003,Independent,Sarl Rondot,Sarl Rondot,
2370005,Carrefour Contact,Carrefour contact,Carrefour,
46150001,,Spar,,
16320005,,Petit 24/24,,
28210003,Total,Total,,
12350002,Spar,Spar Station,,
60500011,TotalEnergies,Total Access,,
60500008,Carrefour Market,Carrefour Market,Carrefour,
40700004,Carrefour Market,Carrefour Market,,
44370005,Super U,Super U,Super U,
56130003,Groupement mousquetaires,station service netto,netto nivillac,
30750001,Dyneff,Dyneff,,
34140004,Intermarché,,,
69960006,Total Contact,,,
87290001,Intermarché,Intermarché Contact,Intermarché contact,
41200009,TotalEnergies,TotalEnergies,,
30100003,Système U,Station U,,
65240001,Carrefour,Carrefour Contact,,
55500002,Total,Total,,
80000009,Esso Express,Esso Express,Esso,
56130001,Total,Total Contact,,
34560002,Carrefour,,,
30150002,Intermarché,Intermarché,Sorodis Roquemaure,
1430005,Total,Total,,
56480001,,Station 24/24,,
56500004,Intermarché,Intermarché,,
64100009,Intermarché,,,
13710004,Intermarché,Intermarché,,
76000009,Intermarché,Intermarché,Saratoga,
2200015,Total,Total,,
56910001,Elan,Elan,,
78241001,Carrefour,Carrefour,Carrefour,
43300002,Système U,Station U,,
71220002,Station U,,Super U,
43350001,Intermarché,Intermarché,,
43340001,,J.V.F.,,
74600017,Auchan,Auchan,Auchan,
47200011,Elan,Elan,,
7140001,,,Carrefour,
62176001,Intermarché,Intermarché,,
70000001,Carrefour,Carrefour,Carrefour,
46200001,Total Access,Le Relais de Blazy,,
95540005,BP,Esso,BP,
63330002,Intermarché,Intermarché Contact,Groupement des Mousquetaires,
85560001,,,Elan,
59230002,E.Leclerc,Station Service E. Leclerc,E. Leclerc,
54960001,Carrefour,,,
49400006,Carrefour Market,Carrefour Market,,
6296001,,Station du MIN,,
34300009,Total,,Total,
4320001,Eni,Eni,,
94800007,Total Access,TotalEnergies Access,,
26800007,TotalEnergies,Relais Total du Valentinois,Total,
13680008,TotalEnergies,Total,,
13680007,TotalEnergies,Relais Lançon de Provence,,
18170001,Système U,Station U,,
73130004,Total,Total Contact,Elan,
83210004,Independent,Contact,,
13520001,Total Access,,,
13320010,Système U,,,
64140007,Auchan,Auchan,,
2000013,Carrefour,Carrefour,,
27320001,Carrefour Market,Carrefour Market,,
34110003,Intermarché,Intermarché,,
57430004,Total,Total,,
56300009,Netto,Netto,Netto,
13200020,TotalEnergies,Total Access,,
63000019,Agip,ciao agip,,
11260001,Intermarché,Intermarché,Groupement des Mousquetaires,
9000007,Carrefour,Carrefour,,
12330003,,Station Intermarché Salles-la-Source,Groupement des Mousquetaires,
85170011,Système U,Station U,,
21350002,Shell,Shell,Shell,
79230005,Total,Total,,
79220001,U,Station Super U,Super U,
4160007,,Poliotti Et Lm,,
51350001,,Cora,Cora,
63160001,Auchan,Auchan - Carburant,Auchan,
62460002,Carrefour,Carrefour,,
26290003,Esso,Esso,Esso,
56600001,E. Leclerc,,,
26300011,TotalEnergies,TotalEnergies,Shell,
59610001,Auchan,Auchan,,
60610002,E. Leclerc,E. Leclerc,E.Leclerc,
61100008,E.Leclerc,Station Service E. Leclerc,,
59115001,Auchan,Auchan,,
80000007,Esso Express,Esso Express,Esso,
92230011,Total Access,Total Access,,
35580003,Intermarché,Intermarché,,
35111001,Système U,Station U,,
53320002,Système U,Station U,,
53240002,,Station Gambert 24/24,,
53810001,Carrefour,Carrefour,,
22150005,Carrefour,Carrefour,,
22470001,Total,Total,,
22250002,Intermarché,Intermarché,,
22260001,Intermarché,Intermarché,,
33480007,Esso Express,Esso Express,,
15300002,Total,Total,,
26790006,,Natura' Pro Cooperative,,
14680001,Carrefour,U Express,,
79170001,Intermarché,,,
17470001,Intermarché,Intermarché,,
17400006,Esso,Esso,,
69800012,BP,Station Service BP,BP,
17220002,Intermarché,Intermarché,,
17450001,Station U,Station U,,
35200003,Carrefour Market,,EMBC Distribution,
17220003,Système U,Station U,,
17138006,Total Access,,Total,
85400008,TotalEnergies,Station Total,Total,
17440003,,,Carrefour,
52000005,Esso Express,Esso Express,,
17137001,Total,Total,,
8300007,Intermarché,Intermarché,,
29510004,Intermarché,Intermarché,Groupement des Mousquetaires,
82240001,Dyneff,Geraud Tampier,,
17550001,Intermarché,Intermarché Hyper,Groupement des Mousquetaires,
95320005,Esso,Esso,,
52160008,Avia,Avia,Avia,
68590001,Total,Total Contact,,
85000002,Carrefour,Carrefour,,
86130011,Super U,Super U,Système U,
